WKT,Description,
POINT (-79.963338 32.788310),Brittlebank Park,
POINT (-79.876464 32.793195),Shem Creek 1,
POINT (-79.861597 32.804816),Shem Creek 2,
POINT (-79.950133 32.750698),James Island Creek 1,
POINT (-79.971168 32.744501),James Island Creek 2,
POINT (-79.943512 32.660335),Folly Beach,
